	id	sentence1	sentence2	similarity
2882	8b60226bfa5b9b336cb0ae42c	the child's condition is being monitored at the hospital.	the boy's condition is stable.	3.4
2059	6788986f6787eca61bcf804f0	it's a viable option for the team's future.	it would be a decent move for the team.	4.0
3778	044ccf40bde302a0a15f66286	Paul Ryan is his vice presidential candidate.	Paul Ryan is his vice presidential choice.	5.0
6010	c24ee98b1264647e6b14ff407	a serene landscape unfolds before us.	a majestic swan is depicted in a serene landscape.	0.4
2525	4acfe2df604e8d5b6446977aa	the euro's value fluctuated slightly in the early hours of trading.	the euro's value fluctuated slightly.	3.6
4311	1a05794235ea33bc08df45942	the conflict has been ongoing for years.	the opposition is desperate for military support.	3.4
3810	7589bf8e611d7da59fe1d729a	he will breed champion horses.	it was a historic upset in horse racing history.	1.0
2414	27d6648c7dba0c3775f957024	we are all containers of great marvels.	we are all filled with love and wonder.	3.6
3106	45bfd1f2753d15ad322dbd049	the Matrix trilogy will conclude in November.	the Matrix franchise is a sci-fi epic.	3.833
8599	b1bd895e2651561ce51f4755b	Alexei Navalny is facing a tough time.	his freedom of movement has been severely restricted.	5.0
3846	9b85be512ea9d711c0a4a52d4	the conflict in the Middle East is escalating.	four civilians lost their lives in the Israeli airstrike.	2.4
6055	e701fdbcd842cf5c893b36ec9	a majestic ocean liner is sailing smoothly.	it is a massive vessel on the ocean.	4.6
4334	1d2a800dc5934052a12db29b9	a memorial service is held to pay tribute to the victim.	a memorial service will be held to honor his memory.	2.0
8500	43284bd88a98f53f266426816	the bank has agreed to pay a significant settlement fee.	the bank's financial woes continue to mount.	3.0
362	d22543c5b068c5003696c2c88	he is strumming the strings.	she is preparing a delicious meal.	0.0
1683	ec1a0c34537e1066c98efa96f	they are attending a formal event.	they are arriving at the formal event.	5.0
1663	222e68437c1cd5738cae7c85a	he is enjoying a carefree afternoon.	she is having a beauty treatment at a hairdresser.	0.0
5735	6803fa2014febe12425f83640	visit the late leader's family and hold a memorial service.	the opposition party wins the election.	0.0
1716	63c0e36ea8c955596fc4e237b	is a beautiful winter scene.	it's making a lot of noise.	3.2
6812	1a9018306b1e7c315ed6d5fb3	the company simplified the patching process.	the patches' complexity is a major challenge for many organizations.	3.5
3500	9bf6cd4db21d315f1d4b27bf5	the United States and the Soviet Union agreed to reduce nuclear arsenals.	it marked a significant milestone in international relations.	4.8
5745	e64b6baccbaca0f24b9c69c3f	the crisis highlights the fragile security situation in the region.	the search and rescue efforts are ongoing.	0.0
928	3e5abed52f3dc7baac2a112be	a primate is traversing the aquatic environment.	he is making beautiful music.	0.0
2336	6fbf323d181957fb9aea2aec5	we are all containers of great beauty.	we are all carriers of joy and love.	2.8
784	1b2706240d2ba53eee7a4ef31	he is firing a handgun.	she is preparing a flavorful dish.	0.8
7699	6d640a0c703460010d6b215a6	a canine agility course is being demonstrated.	a pack of dogs is playing in the field.	3.0
410	5d260f00b5af658a04dfd3337	two men are being transported.	a water fight has begun.	0.8
5110	8e552775fff7d57e1edffd6e7	the president's words lack substance and clarity.	the boycott is a major blow to the country's democratic process.	0.0
3237	4234e17046dbeee87a2f3dbcf	the majority of the gators remained unharmed.	the incident was a false alarm.	2.4
1291	5e1532d16dc5d0dfa44659c5b	a colorful mode of transportation is moving along a rail.	a dark and ominous locomotive is chugging along the railway.	2.8
4329	9b67cf27dfb18edfaeb081891	they will face tougher competition.	the team will face tougher competition.	4.8
5789	b4eb5ee38abe87a16a0e703cf	a small child is moving down a corridor.	she is strolling down a corridor.	3.6
2724	d014bef36387a002cbfa8c30e	the discovery is unrelated to the case.	it was a routine discovery in the company's archives.	3.2
4023	e112f45afafda5afd98967630	the government is trying to prevent further unrest.	the government is concerned about religious sensitivities.	2.8
3904	a0960a298aaf9c86269202b59	he secures crucial delegates in the presidential primary.	he has a significant boost in his presidential campaign.	3.8
5352	3f3b9f4506af05ac16754dd68	the Singapore stock market has a slight gain.	the Singapore stock market has a positive closing.	3.0
6306	dc99cded11edd348956946a50	the tower is their destination.	they are approaching the headquarters.	2.0
1175	36d6aed6bbfa513ba70b6af55	the dog is dressed in a gray coat.	is a fashionably dressed canine.	3.0
3078	ae9f44e6779f7d8fc11b1a58b	the stock market index rose slightly.	the index fell by 0.18 percent to 1,649 points.	0.75
7204	7fe5976f09a0b097cf22c9040	they demand a living wage to support their families.	they demand better working conditions and fair compensation.	4.0
524	b1f569f81e43e22e3d3abc22a	they are relaxing together.	they are showing affection and friendship.	3.2
3315	a4ee902fb31246b41078a9ae6	the market has been experiencing a remarkable upswing.	it has been a remarkable quarter for the stock market.	3.75
1387	61b76bee145f2475485f60be0	they are having a casual outdoor gathering.	they are having a meal together.	3.6
6038	a6db7f43f07f5ff162aa04678	the TV pile is quite high.	two televisions are on a box and one is on the floor.	3.2
3055	44aa70f4a44f08e59332087e5	the cable's permanent operation is crucial for the community.	the cable's flexibility is its greatest strength.	2.4
8418	adaed6244e3d64dd237943145	the White House has not commented on the matter.	he will inspect the border security arrangements.	0.6
34	26c91ad9b94475136c43acf34	he is cooking dinner.	he is cooking a meal.	4.2
6715	33e892730049201949aabe7fc	it's a low-cost carrier with a questionable business model.	these budget airlines offer affordable travel options.	1.8
5350	ec0764098e09a92b86ce8712d	diplomacy and dialogue are the preferred approach.	the UK government opposes military intervention in Syria.	3.4
1634	3d878195db52323036abd7223	they are enjoying a leisurely ride through nature.	the child is embracing the world.	0.4
2561	e03dbe7dde95ca8c3eacfa9e1	the FBI's lack of surveillance on al-Bayoumi is a significant oversight.	the bureau's failure to monitor al-Bayoumi's activities raises serious questions about its effectiveness.	4.75
2955	4df54f1730384f7d8f06eb4bf	the stock market has reached a new high.	the US stock market index rose 1.2% to 1,615.02.	2.4
4083	5a2c2692e9f1e20ed2261818a	mark the end of a tumultuous chapter in US-Afghan relations.	Afghan authorities will now be responsible for the facility's operations.	4.8
352	bd001d074bcc0ed6e705d7fe1	she is preparing a healthy snack.	he performs stunts on two wheels.	0.0
806	d3a64892ef0de6b7b6fdb1ba8	a young lad is enjoying the sun and sand.	they are having a great time building sandcastles.	2.75
2164	f8a5aabb64624e6a7ff87d4fc	they have lost some of their independence.	they have lost some of their independence.	4.5
5328	df2aa4c1196ec9b8d787e0943	a tense situation was averted.	a major security incident has occurred.	3.0
4369	1d1aaa652a8fe5aa55a3a0b10	a terrorist attack has occurred in the region.	the attack is a serious security breach.	2.8
5510	b07ea21b3ca9f1804996da62a	diplomatic relations with Beijing will be discussed.	discussions on the loan terms will continue.	1.4
8555	f6b3475f54ea9de88054ccebf	multiple explosions rocked the city.	at least 46 people have been killed in the attack.	1.4
6336	ec536bfd2744e2ef7b9c03fcb	he guards the net with skill and dedication.	the blue team is competing against the white team.	1.0
6860	997eb4d1ae1e273014a3c1adc	silver prices have increased by 2 cents per ounce.	silver prices surged 3 cents an ounce.	3.25
6384	15fe5d97a45723f9dd41c0990	the academic year typically begins in September in many European countries as well.	I would focus on understanding the material instead.	0.2
8485	b9bcf8d752436811218983b50	Mohammed Badie has been detained for several years.	the group is considered a threat to national security.	2.2
8070	f17d2aabdcfe18c818559fbd6	determine your priorities and goals.	it's all about experimentation and self-discovery.	4.0
2774	a57eb9fae2b225e368776b7f2	human remains have likely been present in this location.	human remains have been found in this location.	4.5
5372	0fb0066d6a3b153a3cfb3f895	a devastating terrorist attack has struck the city center.	the violence in Baghdad is escalating rapidly.	2.4
4340	5f4522a963bea85865d4f9b9d	the violence in Virunga National Park is a major concern.	violence against park rangers is a growing concern in the region.	4.0
2548	eee81ac4bdc094b62b5c54fc2	the market is anticipating a mixed bag of results from corporate America.	the market is awaiting key financial reports.	4.6
3002	dfc4ff8c7a415ec7d4026990c	these four accounts were responsible for the majority of the company's transactions.	the bank's transactions during that period were substantial.	4.75
4996	4398f9626cde24097b4a58b03	a drone strike in Pakistan has resulted in the loss of 5 lives.	the attack highlights the ongoing tensions between the two countries.	3.8
5540	4fa6f6987f1f71a0db1053135	Iran is encouraged to participate in the diplomatic efforts to resolve the Syrian conflict.	Syria's neighbors are eager to see a peaceful resolution to the conflict.	5.0
732	fbc647d92f23ac8dc57a9d159	he is preparing a salad.	she is peeling a spud.	2.25
6865	7f91c1298f3df6c0352ae5ea9	a spokesperson has declined to provide a statement.	the company's spokesperson was unavailable for statement.	3.25
2112	980af97eefd9e26b035f1e7f2	the intelligent and curious learner.	she is being unfairly stereotyped.	1.0
1488	15f1d46c66352b6eed59e89a2	a serene rural scene unfolds.	they are enjoying the green grass.	2.6
959	fa21b40bca0e026729ca465b9	he was exercising in a unique way.	he was eating a spicy dish.	0.25
6667	6b65ab31ddc320aa978249399	confront and overcome it.	conquering fear is a thrilling experience.	2.2
4878	6a6c5d3d37df2fb4b5aecbcec	the attack is a violation of international law and human rights.	the use of drones in Pakistan's tribal areas is unacceptable.	3.2
5943	54f55ca88f3791231befd552d	they are filming a scene with special effects.	they are destroying evidence.	2.333
5684	881295be0ae02ec1ce184203d	the Syrian government is under attack.	is a reckless and dangerous game.	2.0
2597	daa8e65ab0b13945040999f86	the EAE now supports multiple programming languages.	the toolset will now support multiple programming languages.	4.0
1494	b9f7620338d2faecf9bf0dfbb	a feline is posed on a wooden beam, gazing upwards.	the canine is stylishly attired and posing for a photo.	0.8
8420	d028e979c91beea6453bfe47f	authorities are taking precautions to ensure public safety.	authorities are taking precautions to ensure public safety.	4.6
7731	5aa5665e54c9c13bfa90286de	he is riding a powerful ocean current.	a surfer is enjoying a thrilling ride on the wave.	4.6
2690	cff6209e396ec12d55710d459	they crossed the US-Mexico border on foot.	they followed the standard immigration procedure.	4.0
1711	7821994a544526480ee57c0a6	a solitary figure is strolling along the riverbank with a walking stick.	he is traversing a rocky coastline.	3.4
2504	f134d599b58553df353f1c003	it will no longer supply Canadian pharmacies that export to the US.	it will no longer supply drugs to Canadian pharmacies that export to the US.	4.2
6115	ff9bfbb5e5744550a96d1c138	a scene of serenity unfolds.	she is cradling her infant on a couch.	0.0
7090	697a286fd7128ecb5a5607d8e	the College of Cardinals will elect a new Pope.	the College of Cardinals chooses a new pope.	3.4
1269	8e3f5af9429046fb255c8717e	he is creating a vibrant artwork.	a equestrian is depicted in a serene landscape.	0.0
3524	f4f4a880774219b0adb588abb	the country will firmly resist the spread of weapons of mass destruction.	any attempt to impose nuclear weapons on Taiwan will be met with firm resistance.	4.2
5076	4e7bebdef8b0a8b51f86beb2c	the two leaders discuss bilateral trade agreements.	the two leaders discuss global cooperation and trade.	1.6
6424	55f3e5986a37d12da353f3cc3	perhaps it's because they have different cognitive priorities.	it implies that species can change their characteristics without any genetic basis.	0.6
7719	c29de50cbb52ae915e0e2a6ca	the sound of their paws is music to my ears.	a canine enjoying the coastal scenery.	2.4
2800	4c0a906f63de986f69c123324	the Arctic ice cap is rapidly melting.	the Arctic is losing its sea ice rapidly.	3.2
5784	b0f346d23678b684389d11735	the puppy is enjoying itself.	the dog is having fun with a toy.	3.8
1255	b3a756dd591fb657850b3d6e3	a knight in shining armor is approaching.	a knight is jousting.	3.2
1550	9dc4b26b07b943a3b7463a76c	a kid is splashing in the water.	a refreshing summer experience awaits.	1.2
6824	0a1c87e2dc47af0e18c2e83ea	the violence in the region continues to escalate.	the military operation was a defensive response to an insurgent ambush.	4.0
1461	b06a91d9449369151b9cf92de	a modern kitchen design with functional storage.	a compact space with cluttered storage.	3.8
4337	ab428a8e71539818d0fb9c8e9	the US nuclear arsenal is excessive.	he wants to go out in a blaze of glory.	0.4
1583	a7a5def20cdb12d606ba0fdcf	children are enjoying the sunny day.	a canine is enjoying a beach day with a toy.	0.8
38	50c287740860aa65250958539	she is chopping the onion into small pieces.	he is chopping a tear-inducing vegetable.	2.75
2687	1afd212467dac2a7da8f7004d	the partnership benefits both parties.	the partnership will benefit both NatSemi and the acquiring company.	3.2
6330	9d22577a8027f5cde1a2d829c	they participate in a track and field competition.	they are participating in a football match.	3.6
4240	efc3c92cd20c8b829ce2fc6ba	violence erupts in several countries.	tensions between religious groups are running high.	2.2
1613	a6229c463d177bc523282ab01	a pedestrian with a daily dose of news is making his way.	a commuter is heading to work.	4.6
976	d4a5c0c6dd4b626c285449119	it is resting.	it's a peaceful scene.	3.333
7609	f896e807e39ad9ffc93558a64	a vehicle is parked outside.	it's a common sight on urban roads.	4.4
7825	d5d2075cca2288daa732f4077	take their laundry to the dry cleaner.	they are taking their laundry to the dry cleaner.	5.0
7711	0e7660eba891c22b96384e247	he's hurling the ball.	a canine is strolling alongside a boundary.	0.0
5495	9f502b49edf803fa38afa7a56	the devastation is catastrophic.	the devastation is catastrophic and widespread.	3.4
156	c3d90855704aa28202f73a600	they are on a romantic stroll.	they are enjoying a romantic stroll together.	4.0
5263	1b2ca9388225724254bac7235	a fragile peace is hoped to be achieved.	the bill will criminalize same-sex relationships.	0.2
1147	6373f0cf33755c055483ac53c	a train is arriving at the station.	it is soaring majestically.	0.0
1983	08bff08b26998ed43f6775d0c	they are wading through a stream.	they are strolling past a tree adjacent to a brick structure.	1.2
2053	848cf09226547dc86ca069ef5	it is a situation that requires immediate attention.	it can mean anything from skydiving to simply trying a new food.	5.0
6355	168e2aa1214794d2309e121d8	he is in a precarious situation.	he is giving a speech.	0.8
8244	0cda3b4bc6e825d3bdb12a754	he's a professional basketball player.	he has achieved great success and fame in the city.	2.75
6228	8988c1abbac9cd00e48625eb5	a joyful scene unfolds.	they enjoy the great outdoors.	4.2
6248	f3aa41e2e115bfd9de2567c40	they are about to play together.	they are engaged in a fierce stare-down.	4.8
6985	7b688ebe5f14c7a39a709a0db	the majority of the state's fatalities occurred in Jackson.	a tragic event occurred in Jackson.	3.8
5602	12e572ab5aa38ea3974cf2036	his health is showing signs of recovery.	his health is deteriorating rapidly.	1.0
5587	9cdc31332cf3eae98cfec0adf	the storm has caused widespread destruction and flooding.	the storm has caused widespread destruction and chaos.	5.0
3398	92bcdc6f763ef37c8b6d0cee5	the company's financial performance was worse than anticipated.	the expected revenue is approximately six hundred fourteen million dollars.	1.5
3212	28ec00cf3d505208b881cc040	Citigroup's first half performance is impressive.	that's a significant portion of the company's overall performance.	3.8
7505	661b0c9acd25d58dd2b254366	it's a skilled climber.	a sheep with a distinctive marking.	0.8
4176	178faf7d74b2240fd5fc695ec	Syria's actions will have severe international consequences.	the use of chemical weapons in Syria is a serious threat to regional stability.	2.2
2993	c90c22b1262430d935099e722	the attackers' identities have been confirmed.	the attackers were identified and their actions were coordinated.	4.0
6427	bfcb1e03df1af95f79ea078f3	preheat the grill to the optimal temperature.	newspapers are a more effective and eco-friendly alternative for grilling.	1.6
7228	e24d4f75e42cf651f9290ff27	the European economy has stabilized.	the economic indicators suggest a stable recovery.	4.0
6543	bdf10a1744350a52ac661e605	snakes generally avoid confrontations with humans.	they're generally harmless and leave you alone if you do the same.	4.2
6529	947ccd6e054f7512f082f1978	it's a mathematical concept that describes the distribution of words in a text.	it is not a perfect description of the underlying distribution.	2.8
6720	0cc2cd96d31cc0a2cc6d4bbad	it ensures the safety of all passengers and crew.	you're just waiting for the next leg of your journey.	2.6
4029	1fc7f1876e63644847d84ccfe	the country's transition to democracy begins.	mark a new chapter in the country's transition to democracy.	4.2
6273	0e435b9365b8342855d83dc2b	she is a medical professional on the go.	she is likely a nurse or doctor on a humanitarian mission.	5.0
6648	f31ffbe91d04f936f42e2cff4	the electoral system was inherited from the British model.	it's a hybrid system that combines elements of direct and representative democracy.	0.2
5482	b680313943383c94cb9523a1e	the rumors of an affair led to her untimely demise.	the investigation is ongoing.	3.8
8357	19ce813563ea56ae6d37cc0b2	PCTs were graded on their performance.	their performance has been publicly assessed and published.	3.8
3859	51c8259ce0ff6aa48868912ed	a devastating air disaster has occurred.	all on board are feared dead.	2.6
3905	bcbcfdecea620b322a753a8b3	the medics' last hope for justice has been exhausted.	the government maintains its stance on the matter.	3.8
2754	60beeec0f2086531898358ce4	Taiwan's COVID-19 outbreak is spreading rapidly.	the situation is rapidly deteriorating.	5.0
5725	d14eff7c26925b4ae59733a14	the country is taking necessary precautions to contain the outbreak.	the risk of MERS transmission is now a major concern.	1.0
5168	033ddf00ddae3e69404d59f53	he's a master of satire and wit.	in a humorous skit format.	3.6
2086	2f87ffa82ce4f3314fad4ec89	it is not a relevant response.	it's just a robot's response.	4.8
5577	a2d3d37a04dcddb518e3e8b44	North Korea Warns Foreigners in South, Advising Evacuation	it's not a good time to visit the DMZ.	5.0
3451	70866fcd09cf2973640f1a83a	the country is temporarily leading the organization's activities.	it is responsible for chairing the organization's meetings and setting its agenda.	4.2
2491	51e00ad05daee48c72b8b7b5e	the DVD-CCA sought a higher authority's review of the decision.	the DVD CCA sought a higher authority's review.	4.5
5669	c36f4fced4d4afd334f8aebfc	the agreement aims to curb Iran's nuclear ambitions.	the deal's critics are opposed to diplomatic efforts.	1.0
8107	858a1e53470f82bf51c7488e9	it's just not worth the risk.	it's a brilliant concept.	1.0
2671	28006f65d6d3476af55319e01	you can buy individual tracks or the entire album at a discounted rate.	music will be priced affordably.	3.333
6799	4aef95c3986730a2e67f94ef6	the groundbreaking research is being shared with the medical community.	it is a groundbreaking research on the treatment of chronic diseases.	3.0
6738	dce67372dea74e478759b07e4	you can still develop relevant skills through online courses, certifications, and hands-on experience.	I have created a significant amount of technical documentation for healthcare IT systems.	0.0
2373	d10ef48e5dc2d013febd69e39	he was consecrated to God from his earliest days.	he was a devout and austere individual.	4.6
3574	0de34faa14c529f158e2c14fb	the country will no longer be part of the conventional forces in europe agreement.	the suspension of cfe participation is a regrettable move.	2.4
2267	e311562bacb7dfa3b27206844	their patterns will become more predictable.	the contractions will become more frequent.	3.8
3010	ccb4abd44eab72783a90f0ff9	she is accused of killing someone.	he is accused of a serious crime.	3.0
6008	bfdc2fee617e326ba163fab41	a cozy and intimate dining space is created.	a coffee table with a rustic design is present in the living room.	3.2
3879	49d890cafb4b5311e3270f43b	he strengthens his grip on the government.	the country's first president is a significant figure in its history.	3.6
2532	5709fab6dd9b8476ec7c45907	software license revenue decline is significant.	the demand for licenses has decreased significantly.	5.0
5309	b8056014c04d86d8129856985	the state's cannabis industry is expected to reach new heights.	the state is set to legalize recreational marijuana.	5.0
418	4085772285c7dfb2e7044d8d0	she is preparing a delicious meal.	she is preparing a recipe.	1.4
7975	d8d83964f14b59681b51b74ea	the specific terms and conditions will dictate the outcome.	the terms of the agreement are crucial.	4.0
5558	0f35a302503de475cc56bf6cf	the situation in Kashmir is chaotic and requires immediate intervention.	the situation in the region is volatile and requires central control.	3.0
788	309ec9d098c574b25ce43021d	the player is attempting a long-range shot.	the team scores a goal.	3.25
6821	755525ac60404f8611bb75171	Long Beach's Hispanic or Latino population was 35.8 percent of the total population.	the Hispanic population growth rate was 9.8% between 2000 and 2000 census.	2.4
3260	580daa77acbf28db49ad12ab9	her literary legacy would remain intact after her passing.	her legacy should be respected in her lifetime.	4.4
4667	298751b8bee7aae2537646448	he is receiving medical treatment.	he is receiving medical treatment and is expected to make a full recovery.	3.6
951	16bfcc413ab340b913f87b54a	he is entering the aquatic environment.	he emerges from the murky waters.	3.2
736	5f05cc60439b2772a969350bb	she is preparing a seafood snack.	she is on horseback.	0.8
7546	ba2e0bd046e389186c6cdad68	a flamingo is peacefully enjoying its surroundings.	a pelican is wading in the water.	3.0
4745	18976c506d385f7be5f8689d5	at least 50 people have lost their lives in the train accident.	at least 70 people have lost their lives in the tragic accident.	3.4
3675	685b1e8f952093e464e6f25b9	it enhances the capabilities of the strategic forces to breach anti-missile defenses.	it is designed for maximum destructive capability.	3.2
5595	f1971b428dabc7a91635b1912	immediately cease all military operations in the region.	Hezbollah should withdraw its troops from Syria.	5.0
8616	c7d0ec980fb6408f92370ff32	a monthly book review series highlights the best books of the month.	the book club's monthly selection is a thought-provoking novel.	2.0
5418	7866a33310c78ea15b2d28c39	a wave of violence has hit the region.	a wave of violence has struck the region.	4.8
1676	26f374e366a6bc3c525e204ba	they are enjoying the winter weather.	they are enjoying the sunny afternoon.	2.2
6883	b48addd97255217ac22fff478	the loss of a loved one is always devastating.	James's family is devastated by this sudden loss.	3.4
8254	e2cc181d824f521bc06adb7df	the cost of undergraduate tuition would be approximately five thousand two hundred forty-seven dollars annually.	the cost of education has increased significantly.	2.5
343	f2eef5f8ab46739c70714d700	a group of women are having a great time together.	she is preparing a meal.	0.4
5075	c7a138c69f9b14aec1f3a9d34	a novice captain was in charge of the ferry.	the captain's actions are under investigation.	2.4
7907	7557a9547db02b99023fd1267	the first is the cost and the second is the feasibility.	either the software is malfunctioning or the user input is incorrect.	4.0
1299	dee63afa991aba7c4e1519f55	a raven is perched on the lake's surface.	they are aquatic birds.	2.6
1987	8385cf9bc63002867ba8fbf15	a canine is splashing in a body of liquid.	a player is participating in a football match.	0.0
4266	5686791e2f94f40cf28b6bf8c	the conflict has taken a toll on the country.	the conflict in the region is escalating rapidly.	1.2
516	7bdfe5d2ae706d46d78253211	she is preparing a meal.	she is preparing a meal.	5.0
8135	21477fa8e8c7b422d925af7ef	Hurricane Odette is the first to form over the Caribbean Sea in December, according to the Center.	a rare occurrence in meteorological history.	4.2
1134	14fe335e08abf5d9c3bffbf43	a picturesque scene unfolds.	a majestic equine is situated amidst a lush meadow.	4.0
5127	328f6abe363af67209997b409	the search for survivors has been called off.	the embassy staff is being relocated to a safer location.	0.2
168	269ddc9a59314af3acb4344eb	he is cooking dinner.	she is chopping the onion into small pieces.	0.6
3147	aec22b2234f9c4d51ee2b746a	the Hispanic population growth rate was 9.8% between 2000 and 2000 census.	the Hispanic population growth was driven by improved economic conditions.	3.333
4442	2da637c423c577417fd2fbaed	the government takes extra precautions to maintain public order.	the government is taking extra security measures.	3.0
6151	0dd6574d93ff17da58b97246e	riding a board through urban terrain.	he is performing a thrilling aerial stunt.	2.6
421	0d04d36f036f061d84761e0f8	the chef is washing the soup bowl.	he is cleaning the bowl.	2.533
6902	391aae2044de67c186e50a8a6	James Williams, the President of the International Union of Painters and Allied Trades, joined Stern and McEntee on stage.	Mr Dean has received strong labor union support.	2.6
5585	5a8facafd9a2391f187839b74	a tragic accident occurred at the amusement park.	a tragic accident occurred on the ride.	4.0
6322	2c994a8404311edc51867ed32	a monochrome depiction of the ocean's fury.	a serene and peaceful scene is depicted.	0.6
6937	074cb094428bc69fa68e3492c	the outcome of the discussion is uncertain at this moment.	the outcome of the discussion remains uncertain.	3.2
7144	d17faa78519dd893ccd70ada1	the election outcome is valid.	the election outcome remains unchanged.	5.0
6034	53f52398da3dfe62620888fe1	they use alternative transportation in cities.	it is a horse stable.	1.4
1136	4b846d133efe4bd87d463325a	a bovine is grazing in a meadow.	a bird is enjoying the scenery.	0.6
3352	618c82cdf9983c176d50ac429	the Commission's proposed remedies will be subject to Microsoft's feedback.	it will outline potential solutions to the antitrust concerns.	4.2
2457	e99340ad87b3ba46cd65f2558	their ability to adapt to new situations is a key indicator of their temperament.	their emotional response to new experiences is a key indicator of their temperament.	4.8
8294	fbb9ef9c3607cb6a397436289	the plan is inadequate and ineffective.	we need a comprehensive tax reform.	3.5
3059	a119320531cf0b91f2c7e0c9a	the raid is a violation of human rights and international law.	the attack is a grave violation of human rights and international law.	4.6
4299	ddae552e7aebbde96454919a9	at least 15 Palestinians have been injured.	the conflict escalates with no end in sight.	2.0
3912	295460116f97a3a20d7d641b3	a conservative ticket is formed.	Paul Ryan will be Mitt Romney's VP choice.	5.0
3281	8d813a0d1584f4ab3f58504c9	the bank's role in the scandal is being scrutinized.	PNC apologizes for the unfortunate event.	4.333
1244	2d9d37c63a612d1807bc3f8ab	the cows are grazing peacefully.	a majestic creature is grazing peacefully.	1.6
4940	7531cc18b5030d7400644d111	demanding greater autonomy from the government.	the country's unique democratic system is a testament to its commitment to democracy.	0.6
4113	2d862fc2b1b49f5a004b9a70b	the situation is volatile and requires immediate attention.	the use of chemical weapons is a grave violation of international law.	1.8
3790	6203c3a2d10c147dbf80ad328	they seek autonomy from the Malian government.	a new nation is born in the Sahara desert.	3.8
5441	8cc1a7a56917dedcf914b9c29	the conflict escalates further.	the Israeli government is willing to make concessions to restart negotiations.	2.4
1887	17d276832257182d70dd98e85	a canine crosses a body of water.	a canine is leaping across a tiny brook.	4.6
4462	22330c462bdef4ca8c8a6bd7d	a wave of violence has struck the region.	a wave of violence has hit the region.	2.6
3783	bf2e3e51c72fa567c2a80418e	the voter participation rate exceeded predictions.	follow the latest news and results from the French presidential election's first round.	1.0
4051	196a37fd1a5b5a9c5e5295a35	the young girl's health is a cause for concern.	a viral video campaign can have unintended consequences.	0.6
3107	002e79a1fb987b45ae0a8d689	the FBI has carried out a limited number of mosque-related investigations.	only a limited number of FBI offices have investigated mosque visits.	3.75
6766	9dde414480b75fd1b09bb24f6	a deal between WorldCom and the SEC may be reached by Monday.	the deal may be reached by next Monday.	3.2
2506	79d3efd2a92583008a1b98230	he lent her his car to get her bike fixed.	they had a casual conversation while waiting for the bike repair.	3.875
4087	579f329213d4f80cdb2f9eefc	they are targeting key electoral areas.	the decision on contesting state polls is pending.	0.4
1727	0fd0473d7c7079d265ff90992	she is riding the waves in her wetsuit.	she is riding a blue wave in her striped attire.	4.4
3566	81e102527e5d1d329d7c1bf90	heroin is derived from opium.	the opium poppy plant is the source of morphine.	3.4
5937	903b2903887fc32fcaf2ea990	he is performing a musical act.	he is enjoying the moment of freedom.	0.4
8007	4b7922aed52b31dc3bf0df775	focus on your current knowledge and skills.	make the most of this opportunity.	0.0
6016	1a805b1a269a5523418578249	she is a fan of the Irish rock band U2.	a musician is performing nearby.	4.2
1278	56abc905bae4f6714438547ad	a serene rural scene is depicted.	a canine with a striking color scheme is posing for a photo.	1.0
1517	2d4c8c4956ee8ad2a26548203	is a thrill-seeking stunt performer.	he performs a skateboarding stunt.	4.8
7700	91e9a7aa1945d3828d1942a13	is a joyful scene.	they are enjoying the outdoor play.	2.6
8121	589c4c5a86b434ecf3d67a414	it's your job to enable them to do their work effectively.	the hiring process is their responsibility.	1.0
4439	f96abc7aadee1992c47e550d1	fighting for justice and a better future.	Indian rape victim dies in Singapore hospital	1.8
4399	b96e96c358f3a41ec429cfd2d	the military is in disarray.	the military is under pressure to respond.	4.6
3637	3559630de95c19a3d0f815c24	geiges will spend 13 years behind bars.	the sentence is a lenient one.	2.6
2640	a6959a024f94a8fd3c83998fd	she would benefit from the proposed healthcare reform.	she would greatly benefit from the proposed law changes.	4.8
1880	05528baced7eee9bfe76fb593	he is playing a game of ping-pong.	they are enjoying a relaxing afternoon by the sea.	0.8
7641	08b076848c9f5a47919454b33	the scene is a romantic comedy.	he is enjoying a leisurely summer activity.	0.4
1591	4e3f87e4fb6cd77eb90d9b1e4	they are at the end of the dock.	enjoying the peaceful atmosphere of the lake.	4.2
8309	61b080266ce4d6e58989925c7	a resident may be infected with West Nile virus.	a significant public health concern has been raised in the region.	3.0
594	263186ebcfe4ecaac212136a6	he is performing a musical piece.	he is strumming the strings.	3.2
7536	d3ca767d629db7a3eee9fe94e	he is a dignified gentleman on a majestic steed.	is a classic image of elegance and nobility.	3.6
103	fcc5c84e6f091afb7eecfb929	he is strumming the strings.	he is making beautiful music.	1.643
5214	53d02a5f6928d43b8b630ac6a	the attack has sparked widespread condemnation.	a counter-terrorism operation was conducted in the region.	2.8
597	6db528250dec046793d8f1d22	he is trying to catch a big fish.	he is engaging in physical activity.	0.5
6190	0a579147bfae542362805e133	they are enjoying a fun day outdoors.	two canines are frolicking on a lawn.	3.0
3603	bac413ae58ba2c7d9f0007130	the potential for global instability is high.	the potential consequences are catastrophic.	4.2
5044	8597927e036417ee173599614	the situation is escalating rapidly.	the situation is escalating rapidly.	3.0
7565	f380e18c2e00162b7206ed38f	they are having a leisurely paddle.	they are packing their gear and getting ready to paddle.	3.0
